,Unnamed: 0,DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
38807,710780,122117602,2012-10-25,2012-09-30,100,21,Topanga,2169,956,"LETTERS, LEWD",1501,26.0,M,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,5600    JUMILLA                      AV,,"(34.1817, -118.5637)"
3598,935542,141606656,2014-03-17,2014-03-15,1700,16,Foothill,1663,330,BURGLARY FROM VEHICLE,1300 0344 1605 0358 0352,19.0,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,RINCON                       AV,MUSCATINE                    ST,"(34.2403, -118.4111)"
1865,1063763,150806273,2015-02-25,2015-02-17,1530,8,West LA,899,330,BURGLARY FROM VEHICLE,0344,61.0,M,O,101.0,STREET,,,IC,Invest Cont,330.0,,,,2800    LA CIENEGA                   AV,,"(34.0329, -118.3832)"
39072,1016711,150308288,2015-03-13,2015-03-12,2300,3,Southwest,337,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,3000    HALLDALE                     AV,,"(34.0273, -118.3028)"
127764,103536,131106370,2013-02-17,2013-02-16,2130,11,Northeast,1126,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,,M,O,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,5400    YORK                         BL,,"(34.12, -118.1992)"
141936,593731,120921612,2012-11-27,2012-11-27,1900,9,Van Nuys,905,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344,42.0,F,H,108.0,PARKING LOT,,,AA,Adult Arrest,420.0,,,,14600    SHERMAN                      WY,,"(34.2012, -118.4509)"
10357,167568,101815290,2010-07-13,2010-07-09,1900,18,Southeast,1823,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,,,,108.0,PARKING LOT,,,IC,Invest Cont,420.0,,,,300 E  95TH                         ST,,"(33.9502, -118.2695)"
71861,113448,101306223,2010-02-03,2010-02-03,1830,13,Newton,1364,624,BATTERY - SIMPLE ASSAULT,0416,53.0,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,49TH                         ST,CENTRAL                      AV,"(33.9989, -118.2565)"
40212,225081,100307367,2010-02-20,2010-02-19,1126,3,Southwest,391,440,THEFT PLAIN - PETTY ($950 & UNDER),0344,48.0,F,B,203.0,OTHER BUSINESS,,,IC,Invest Cont,440.0,,,,4000    SANTO TOMAS                  DR,,"(34.0093, -118.3437)"
102804,1559342,171815980,2017-07-30,2017-07-30,230,18,Southeast,1838,330,BURGLARY FROM VEHICLE,1300 1609 0344 0329,,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,2100 E  105TH                        ST,,"(33.9406, -118.2348)"
120590,680260,121814468,2012-07-18,2012-07-18,1840,18,Southeast,1846,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",1300 0329 0906,23.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,AO,Adult Other,740.0,,,,112TH                        ST,COMPTON,"(33.9332, -118.2463)"
69529,120313,101323846,2010-10-26,2010-10-13,1000,13,Newton,1393,649,DOCUMENT FORGERY / STOLEN FELONY,0100,39.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,649.0,,,,200 W  71ST                         ST,,"(33.9756, -118.2761)"
110437,1134233,151500827,2015-07-21,2015-07-20,1600,15,N Hollywood,1527,235,CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,0400 0913 0501 0522 1820 1258 0527 1402 1415,,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,235.0,998.0,,,11300    BESSEMER                     ST,,"(34.1804, -118.3768)"
34693,206093,131318275,2013-09-16,2013-06-16,1600,13,Newton,1393,354,THEFT OF IDENTITY,0377,26.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,200 W  66TH                         ST,,"(33.9798, -118.2761)"
95430,560013,120606100,2012-01-27,2012-01-26,2000,6,Hollywood,639,510,VEHICLE - STOLEN,,11.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1800 N  KINGSLEY                     DR,,"(34.1036, -118.3035)"
97641,1117969,151313501,2015-06-22,2015-06-22,335,13,Newton,1322,903,CONTEMPT OF COURT,0913,31.0,F,H,501.0,SINGLE FAMILY DWELLING,,,AA,Adult Arrest,903.0,,,,600 E  24TH                         ST,,"(34.0242, -118.2623)"
100741,692753,121920361,2012-10-02,2012-07-02,1900,19,Mission,1959,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344,54.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341.0,,,,10300    SHARP                        AV,,"(34.2579, -118.4371)"
149361,1425049,170315976,2017-06-28,2016-12-12,1,3,Southwest,361,354,THEFT OF IDENTITY,0100 0917 1822,50.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,5000    COLISEUM                     ST,,"(34.0183, -118.3536)"
41930,1121987,151321838,2015-11-24,2015-11-24,700,13,Newton,1363,310,BURGLARY,0344 0321 1601 0358,27.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,600 E  48TH                         ST,,"(33.9997, -118.2652)"
19113,1121612,151320973,2015-11-09,2015-11-07,2245,13,Newton,1372,623,BATTERY POLICE (SIMPLE),1212 0429,,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,623.0,,,,200 E  55TH                         ST,,"(33.9925, -118.272)"
64658,15438,130222205,2013-11-15,2013-11-12,1800,2,Rampart,231,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0432,22.0,F,H,514.0,GROUP HOME,511.0,VERBAL THREAT,AO,Adult Other,930.0,,,,100 N  OCCIDENTAL                   BL,,"(34.0707, -118.2795)"
44562,1251819,160505965,2016-02-16,2016-02-13,1400,5,Harbor,519,310,BURGLARY,0398 0329 1202 1236,61.0,F,W,721.0,HIGH SCHOOL,,,IC,Invest Cont,310.0,,,,24800    BROAD                        AV,,"(33.7974, -118.2372)"
147602,206186,131318501,2013-09-21,2013-09-20,1045,13,Newton,1309,330,BURGLARY FROM VEHICLE,0344 1609 1307 0358,29.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,LONG BEACH                   AV,OLYMPIC,"(34.0293, -118.241)"
10021,882116,141106904,2014-03-05,2014-03-05,1005,11,Northeast,1113,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS) 0114",0329,25.0,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,740.0,,,,2700    COLORADO                     BL,,"(34.1426, -118.224)"
72065,557341,120517859,2012-10-16,2012-10-15,2330,5,Harbor,504,510,VEHICLE - STOLEN,,11.0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,1300 W  190TH                        ST,,"(33.8583, -118.2994)"
123629,290071,101118523,2010-08-27,2010-08-23,1,11,Northeast,1162,354,THEFT OF IDENTITY,0930 1822,20.0,M,O,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,4500    FOUNTAIN                     AV,,"(34.0957, -118.2867)"
135301,668209,121710224,2012-04-25,2012-04-24,1900,17,Devonshire,1735,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1606 0344 1822,56.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,11000    PENDER                       AV,,"(34.2709, -118.5039)"
52246,1051286,150620800,2015-09-26,2015-09-26,1953,6,Hollywood,631,946,OTHER MISCELLANEOUS CRIME,0432 0443,53.0,M,W,101.0,STREET,511.0,VERBAL THREAT,AA,Adult Arrest,946.0,,,,9200    CRESCENT                     DR,,"(34.1073, -118.3902)"
124229,1098293,151120049,2015-11-20,2015-09-17,1200,11,Northeast,1144,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1202,72.0,M,W,102.0,SIDEWALK,,,IC,Invest Cont,420.0,,,,2500    MICHELTORENA                 ST,,"(34.1052, -118.2699)"
50947,1481019,171110914,2017-05-23,2017-05-20,1930,11,Northeast,1123,510,VEHICLE - STOLEN,,16.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,GLENFELIZ,GLENMANOR,"(34.117, -118.2637)"
46342,746506,131610978,2013-06-24,2013-06-21,800,16,Foothill,1653,354,THEFT OF IDENTITY,0377 1822 0922,41.0,F,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,12700    OSBORNE                      ST,,"(34.2542, -118.4095)"
54930,486549,111822931,2011-12-12,2011-12-12,1000,18,Southeast,1842,510,VEHICLE - STOLEN,,10.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,10800 S  BROADWAY,,"(33.9383, -118.2781)"
20429,721554,161013239,2016-07-26,2011-01-22,1000,10,West Valley,1039,354,THEFT OF IDENTITY,1822,25.0,M,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,6700    HASKELL                      AV,,"(34.192, -118.4749)"
54214,1511291,171706736,2017-02-21,2017-01-26,800,17,Devonshire,1767,354,THEFT OF IDENTITY,1822,41.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,18200    LABRADOR                     ST,,"(34.2491, -118.5294)"
73249,940372,141616649,2014-12-13,2014-12-13,1,16,Foothill,1684,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2004 1218 1202,55.0,M,W,517.0,,,,AO,Adult Other,440.0,,,,7800    LANKERSHIM                   BL,,"(34.2121, -118.3878)"
102024,991029,151416938,2015-06-17,2014-09-29,800,14,Pacific,1432,354,THEFT OF IDENTITY,0377,30.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,2200    BRENTA                       PL,,"(33.9941, -118.4546)"
29266,932095,141519922,2014-11-03,2014-11-03,1400,15,N Hollywood,1549,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 0334 1402,64.0,M,W,101.0,STREET,511.0,VERBAL THREAT,AA,Adult Arrest,930.0,998.0,,,CASE                         AV,CUMPSTON,"(34.17, -118.3719)"
43936,1428069,171511527,2016-11-02,2016-08-26,1,15,N Hollywood,1596,810,"SEX, UNLAWFUL",,,F,X,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,810.0,,,,3100    DONA SUSANA                  DR,,"(34.1277, -118.3749)"
119,231969,100321298,2010-09-05,2010-09-02,1400,3,Southwest,395,626,INTIMATE PARTNER - SIMPLE ASSAULT,0416 0913 1814 2000,36.0,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,HOBART                       BL,MARTIN LUTHER KING JR        BL,"(34.0109, -118.3078)"
118679,796521,140109305,2014-03-22,2014-03-22,1200,1,Central,153,210,ROBBERY,0400 0432 0344,23.0,M,W,130.0,REDLINE ENTRANCE/EXIT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,210.0,,,,500 S  HILL                         ST,,"(34.0488, -118.2518)"
119897,761171,131808408,2013-04-07,2013-04-06,1800,18,Southeast,1832,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD0036",0344 0554,54.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,341.0,,,,200 E  105TH                        ST,,"(33.9411, -118.2717)"
104716,387297,110816066,2011-09-27,2011-09-18,1400,8,West LA,885,330,BURGLARY FROM VEHICLE,0344,32.0,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,PICO                         BL,MOTOR,"(34.05, -118.4106)"
41681,1248463,160415942,2016-10-05,2016-10-02,1100,4,Hollenbeck,453,510,VEHICLE - STOLEN,,15.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1400 E  CESAR E CHAVEZ               AV,,"(34.0528, -118.2212)"
122863,1392574,161822082,2016-11-30,2016-11-30,1140,18,Southeast,1861,330,BURGLARY FROM VEHICLE,1402 1300 1307 0329 0344,15.0,M,H,101.0,STREET,311.0,HAMMER,AA,Adult Arrest,330.0,,,,500 W  115TH                        ST,,"(33.9298, -118.2826)"
108201,886669,141115746,2014-08-28,2014-08-28,1308,11,Northeast,1113,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 0325 0352,,M,O,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,442.0,,,,2600    COLORADO                     BL,,"(34.1422, -118.223)"
32231,719710,141205576,2014-01-27,2012-01-26,2000,12,77th Street,1268,330,BURGLARY FROM VEHICLE,1605 0344,32.0,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,330.0,,,,200 W  84TH                         ST,,"(33.9633, -118.2761)"
20583,54345,130709425,2013-05-07,2013-05-03,2115,7,Wilshire,724,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0344,,X,X,404.0,DEPARTMENT STORE,,,AA,Adult Arrest,343.0,,,,100    THE GROVE                    DR,,"(34.0761, -118.3563)"
151447,972964,142011499,2014-06-09,2014-06-07,1230,20,Olympic,2019,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 0385 0352 0386 1221,25.0,F,B,101.0,STREET,,,IC,Invest Cont,420.0,,,,1ST                          ST,WESTMORELAND                 AV,"(34.0735, -118.2879)"
33878,1019245,150312947,2015-05-24,2015-05-24,15,3,Southwest,392,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2000 1813 1243 0334 0443 0445,57.0,M,B,707.0,GARAGE/CARPORT,200.0,KNIFE WITH BLADE 6INCHES OR LESS,AO,Adult Other,230.0,,,,4600    9TH                          AV,,"(34.0019, -118.3269)"
36511,286557,101006360,2010-02-18,2010-02-18,1,10,West Valley,1005,510,VEHICLE - STOLEN,,,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,7800    CHASTAIN                     AV,,"(34.2128, -118.5263)"
41507,20536,130311859,2013-05-03,2013-05-02,2100,3,Southwest,338,510,VEHICLE - STOLEN,,12.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1200 W  30TH                         ST,,"(34.0274, -118.2891)"
65011,1414270,162101098,2016-08-21,2016-08-21,130,21,Topanga,2138,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0444 0416,30.0,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,,,,7500    MASON                        AV,,"(34.2069, -118.5797)"
78893,1328075,161224812,2016-10-05,2016-08-29,1200,12,77th Street,1232,354,THEFT OF IDENTITY,0100 1822,38.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354.0,,,,3200 W  60TH                         ST,,"(33.9872, -118.3277)"
153387,493646,111918314,2011-08-28,2011-08-27,1140,19,Mission,1908,956,"LETTERS, LEWD",1501,36.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,956.0,,,,13200    HUBBARD                      ST,,"(34.3161, -118.4206)"
18993,88210,101021186,2010-12-18,2010-12-17,1820,10,West Valley,1006,438,RECKLESS DRIVING,1501,57.0,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,438.0,,,,7800    TEXHOMA                      AV,,"(34.212, -118.5154)"
124946,1555007,170413755,2017-08-09,2017-08-09,100,4,Hollenbeck,409,902,VIOLATION OF TEMPORARY RESTRAINING ORDER,1814,23.0,F,H,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,902.0,,,,5300    HUNTINGTON                   DR,,"(34.0909, -118.1652)"
86987,655417,121521395,2012-11-02,2012-11-02,200,15,N Hollywood,1538,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0400,22.0,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,,,,11200    TIARA                        ST,,"(34.1785, -118.3746)"
154241,299039,101422163,2010-10-02,2010-09-30,800,14,Pacific,1414,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1300,54.0,M,W,101.0,STREET,,,IC,Invest Cont,420.0,,,,200    BERNARD                      AV,,"(34.0015, -118.4721)"
35228,495375,111922104,2011-10-31,2011-10-24,1200,19,Mission,1907,310,BURGLARY,0344,10.0,M,O,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310.0,,,,13200    GLADSTONE                    AV,,"(34.3108, -118.4282)"
13243,1090582,151105627,2015-02-03,2015-02-02,2230,11,Northeast,1148,510,VEHICLE - STOLEN,,14.0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,4900    ELDRED                       ST,,"(34.1088, -118.2076)"
76914,998813,150112051,2015-05-02,2015-04-30,200,1,Central,157,624,BATTERY - SIMPLE ASSAULT,0416 1218,41.0,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,6TH,SAN PEDRO                    ST,"(34.0417, -118.2443)"
61311,1020348,150314883,2015-06-19,2015-05-31,1700,3,Southwest,379,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 1813 1243 0419 0416 0446,18.0,F,B,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626.0,,,,1000 W  39TH                         ST,,"(34.0155, -118.2915)"
9819,1172567,151821988,2015-12-15,2015-12-15,1110,18,Southeast,1824,761,BRANDISH WEAPON,0421 0334 2000 0906 1814,22.0,M,H,121.0,YARD (RESIDENTIAL/BUSINESS),308.0,STICK,AO,Adult Other,761.0,,,,9300    CLOVIS                       AV,,"(33.9521, -118.2564)"
20678,1082746,151006186,2015-02-25,2015-02-25,5,10,West Valley,1025,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0416 1414 0449 1309 0216,24.0,M,W,207.0,BAR/COCKTAIL/NIGHTCLUB,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,230.0,,,,7000    RESEDA                       BL,,"(34.1977, -118.5361)"
117131,255774,100614230,2010-05-22,2010-05-22,515,6,Hollywood,643,626,INTIMATE PARTNER - SIMPLE ASSAULT,0400 0416 1402 2000,30.0,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626.0,998.0,,,7200    HOLLYWOOD                    BL,,"(34.1016, -118.3468)"
71492,104394,101216040,2010-06-04,2010-06-01,1620,12,77th Street,1211,330,BURGLARY FROM VEHICLE,0344 0358 1609,25.0,M,H,101.0,STREET,,,IC,Invest Cont,330.0,,,,5700    2ND                          AV,,"(33.991, -118.3193)"
145091,1521419,171906554,2017-02-18,2017-02-18,1830,19,Mission,1902,510,VEHICLE - STOLEN,,16.0,,,707.0,GARAGE/CARPORT,,,IC,Invest Cont,510.0,,,,15100    ROXFORD                      ST,,"(34.3198, -118.4622)"
114222,1440473,170306148,2017-02-02,2017-02-01,340,3,Southwest,376,354,THEFT OF IDENTITY,0100 1202 0922 1822,67.0,F,B,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354.0,,,,3800 S  HARVARD                      BL,,"(34.0174, -118.3067)"
44073,463814,111613427,2011-07-17,2011-07-17,1450,16,Foothill,1695,624,BATTERY - SIMPLE ASSAULT,0416 0906,19.0,M,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,624.0,,,,STRATHERN                    ST,VINELAND                     AV,"(34.2157, -118.3703)"
